﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4wJP8Rw9GkWArzOrb8khxo","What A Wonderful World","Joey Ramone","How To Lose Friends And Alienate People","1","2","141626","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:1ERcK7rmNZPqo8nB32JqLt","Tell Her This","Del Amitri","Twisted","1","5","191560","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5T936HyDwKBmfEySj7JGf0","Question","Old 97's","Hit By A Train: The Best Of Old 97's","1","15","135973","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:2WmC4RGB4bDAkN81j4RIwP","A Little Respect","Erasure","Hits The Very Best Of Erasure","1","6","213866","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:3kZZRxNaxm3KdZ9ldDUdkK","Fighting For My Love","Nil Lara","Nil Lara","1","2","248407","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5rDsAMjmB4Qa5WNciJPsfK","Tubthumping","Chumbawamba","Playlist: 90s Pop","1","19","234133","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:2xoAwXycjlcekNLPHxqUvB","Have It All","Jeremy Kay","Have It All","1","5","232373","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:7a2ZOtemauQ5WLSQyjjsYt","Hold On Hope","Guided By Voices","Hold On Hope - EP","1","9","213186","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:6hnFhdBY96Y1w9dw3h5gH8","Opportunity","Pete Murray","See The Sun","1","1","217000","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:4lXdn5j4gz0CtUXd3dF5lN","New Slang","Brave Squirrels","Emo Rocks!","2","15","237240","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5QdS1gpcwIcGzLMcePAg7s","Closer","Joshua Radin","We Were Here","1","5","172880","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:4FYeIka527pqJV5Jm5EXai","Under Pressure","Queen, David Bowie","Greatest Hits II","1","2","236760","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5Sr8QyyeNzeYHZ9yQ9Y9ZV","More Than A Feeling","Boston","BOSTON","1","1","285493","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:4dVYM5ds4vC3HNzcBpExUD","Dreaming of You","The Coral","The Coral","1","4","141000","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5QlxJMuPUxn2J2rcudSK9Z","Love Train","The O'Jays","70s 100 Hits","1","16","176906","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:local:Joshua+Radin:Music+From+Scrubs:Sesame+Street+Theme:176","Sesame Street Theme","Joshua Radin","Music From Scrubs","0","0","176000","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:2NL4BBBSgypHnxUKmQdYcT","(Don't Fear) The Reaper","Blue Öyster Cult","The Essential Blue Öyster Cult","1","5","308640","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:0IGuQUPFVDZ0hIxCd31W9g","Love Hurts (Studio Demo)","Nazareth","Classic Rock Hits","2","2","231733","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:3kI8kTNFz8OugHZWWpIHcB","The Book of Love","Peter Gabriel","Live Blood","1","7","235680","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5fVZC9GiM4e8vu99W0Xf6J","How to Save a Life","The Fray","How To Save A Life","1","3","262533","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:0zSGK8ZpVuo0XdIY21Vyrh","Ugly Boy","Die Antwoord","Donker Mag","1","2","213607","spotify:user:tn.leprechaun","2014-11-16T15:39:30Z"
"spotify:track:5DBQWDGt7WVlyMgMgvGko9","I Fink U Freeky","Die Antwoord","TEN$ION","1","2","280920","spotify:user:tn.leprechaun","2014-11-16T15:39:36Z"
"spotify:track:7wxqtAEYlz4gwVowjgOTrC","Pitbull Terrier","Die Antwoord","Donker Mag","1","9","220336","spotify:user:tn.leprechaun","2014-11-16T15:39:42Z"
